delivery_id,order_id,route_id,carrier_type,dispatch_time,promised_delivery_time,actual_delivery_time,delivery_distance_km,delay_minutes,delivery_date
38,86478,15,Van,2025-03-09 22:00:00,2025-03-09 23:16:20.098310,2025-03-09 23:19:13.278818,13.81,2.9,2025-03-09
39,92994,4,Van,2025-05-03 16:00:00,2025-05-03 17:42:30.265000,2025-05-03 17:32:30.265000,24.88,-10.0,2025-05-03
40,22161,7,3PL Partner,2025-02-07 23:00:00,2025-02-08 00:42:28.217717,2025-02-08 01:09:52.516510,20.93,27.4,2025-02-07
41,30689,13,Van,2025-03-10 19:00:00,2025-03-10 20:33:13.995977,2025-03-10 20:37:17.719755,28.37,4.1,2025-03-10
42,70924,3,Bike,2025-04-08 05:00:00,2025-04-08 07:05:19.368999,2025-04-08 07:16:42.003417,37.85,11.4,2025-04-08
43,84308,16,Truck,2025-05-19 15:00:00,2025-05-19 16:54:20.152158,2025-05-19 17:00:47.247632,36.34,6.5,2025-05-19
44,73745,9,3PL Partner,2025-05-24 00:00:00,2025-05-24 02:08:09.208258,2025-05-24 01:58:09.208258,27.02,-10.0,2025-05-24
45,11211,8,3PL Partner,2025-05-04 05:00:00,2025-05-04 07:57:26.303134,2025-05-04 08:14:43.403389,41.47,17.3,2025-05-04
46,10229,20,Van,2025-04-03 02:00:00,2025-04-03 03:45:20.071934,2025-04-03 03:59:51.822771,22.68,14.5,2025-04-03
47,58542,13,3PL Partner,2025-05-28 03:00:00,2025-05-28 06:25:32.270437,2025-05-28 06:27:01.323826,45.04,1.5,2025-05-28
48,24345,17,Truck,2025-05-27 02:00:00,2025-05-27 02:21:57.611161,2025-05-27 02:41:22.938121,5.42,19.4,2025-05-27
49,41819,17,3PL Partner,2025-05-27 19:00:00,2025-05-27 23:00:40.131759,2025-05-27 22:50:40.131759,47.82,-10.0,2025-05-27
50,57779,17,Truck,2025-04-06 06:00:00,2025-04-06 08:56:20.111368,2025-04-06 09:00:57.308037,33.43,4.6,2025-04-06
51,92421,1,Bike,2025-02-21 08:00:00,2025-02-21 09:01:37.146847,2025-02-21 09:12:08.499815,20.24,10.5,2025-02-21
52,75584,8,Bike,2025-06-10 07:00:00,2025-06-10 07:41:31.037830,2025-06-10 07:31:31.037830,11.46,-10.0,2025-06-10
53,29950,19,Truck,2025-05-08 06:00:00,2025-05-08 08:08:29.806575,2025-05-08 08:17:21.290642,25.0,8.9,2025-05-08
54,25173,6,Van,2025-03-23 07:00:00,2025-03-23 07:47:10.069465,2025-03-23 08:11:50.443641,11.34,24.7,2025-03-23
55,68032,3,3PL Partner,2025-05-09 10:00:00,2025-05-09 10:49:47.658365,2025-05-09 10:53:43.781256,9.98,3.9,2025-05-09
56,38036,5,Van,2025-06-27 22:00:00,2025-06-28 00:07:49.496528,2025-06-28 00:17:08.558645,31.63,9.3,2025-06-27
57,81356,13,3PL Partner,2025-06-08 09:00:00,2025-06-08 10:53:06.123038,2025-06-08 11:14:20.935885,27.11,21.2,2025-06-08
58,24292,15,Bike,2025-04-09 06:00:00,2025-04-09 07:58:45.446060,2025-04-09 08:01:00.085929,34.16,2.2,2025-04-09
59,13052,14,Bike,2025-05-24 15:00:00,2025-05-24 17:55:58.816504,2025-05-24 18:00:01.459625,46.62,4.0,2025-05-24
60,54377,16,Bike,2025-03-01 16:00:00,2025-03-01 18:12:40.800624,2025-03-01 18:02:40.800624,27.55,-10.0,2025-03-01
61,99317,18,3PL Partner,2025-01-02 00:00:00,2025-01-02 02:08:29.346880,2025-01-02 02:18:11.422747,29.88,9.7,2025-01-02
62,77838,11,Bike,2025-02-17 11:00:00,2025-02-17 11:33:32.718521,2025-02-17 11:36:50.900341,6.3,3.3,2025-02-17
63,77819,3,Bike,2025-02-06 22:00:00,2025-02-07 01:22:33.648671,2025-02-07 01:42:32.556425,36.45,20.0,2025-02-06
64,25620,10,Bike,2025-01-09 08:00:00,2025-01-09 09:38:01.660103,2025-01-09 09:59:17.812048,21.2,21.3,2025-01-09
65,40461,10,Bike,2025-04-09 18:00:00,2025-04-09 22:17:50.828735,2025-04-09 22:43:40.279582,48.88,25.8,2025-04-09
66,30750,16,Van,2025-02-17 15:00:00,2025-02-17 17:42:45.482609,2025-02-17 17:42:35.570188,41.51,-0.2,2025-02-17
67,98719,12,Bike,2025-05-11 19:00:00,2025-05-11 20:54:56.903906,2025-05-11 20:44:56.903906,27.08,-10.0,2025-05-11
68,19472,2,Bike,2025-06-01 21:00:00,2025-06-01 21:40:40.097981,2025-06-01 22:05:30.065677,7.91,24.8,2025-06-01
69,79263,9,Van,2025-04-30 00:00:00,2025-04-30 02:59:52.148940,2025-04-30 03:18:29.494097,43.25,18.6,2025-04-30
70,67602,3,Van,2025-06-01 19:00:00,2025-06-01 22:12:28.603493,2025-06-01 22:09:46.253567,40.39,-2.7,2025-06-01
71,35523,15,3PL Partner,2025-03-16 16:00:00,2025-03-16 16:38:37.185105,2025-03-16 16:59:43.113344,10.86,21.1,2025-03-16
72,40766,3,Truck,2025-06-13 05:00:00,2025-06-13 06:17:37.261321,2025-06-13 06:07:37.261321,16.17,-10.0,2025-06-13
73,76060,19,Bike,2025-04-14 19:00:00,2025-04-14 22:43:50.893458,2025-04-14 23:14:27.181713,40.08,30.6,2025-04-14
74,19079,18,Bike,2025-04-22 02:00:00,2025-04-22 03:01:03.232151,2025-04-22 03:04:22.882689,10.89,3.3,2025-04-22
75,18399,8,Bike,2025-06-02 17:00:00,2025-06-02 20:58:13.748633,2025-06-02 20:51:39.035497,46.05,-6.6,2025-06-02
76,70726,17,3PL Partner,2025-05-08 13:00:00,2025-05-08 14:57:11.749633,2025-05-08 14:54:45.707766,22.38,-2.4,2025-05-08
77,26532,8,Bike,2025-03-23 01:00:00,2025-03-23 01:28:52.441238,2025-03-23 01:34:14.659255,6.18,5.4,2025-03-23
78,92357,7,Truck,2025-02-23 02:00:00,2025-02-23 05:15:39.329413,2025-02-23 05:25:24.914925,41.16,9.8,2025-02-23
79,53162,7,Van,2025-06-18 03:00:00,2025-06-18 04:07:46.544824,2025-06-18 04:18:44.481160,19.93,11.0,2025-06-18
80,13749,3,3PL Partner,2025-06-10 03:00:00,2025-06-10 04:58:07.836949,2025-06-10 04:59:32.308016,27.27,1.4,2025-06-10
81,21353,1,Van,2025-02-02 13:00:00,2025-02-02 13:32:09.981525,2025-02-02 13:46:10.269013,7.39,14.0,2025-02-02
82,38477,4,Bike,2025-01-21 15:00:00,2025-01-21 15:12:28.784425,2025-01-21 15:22:38.719554,2.12,10.2,2025-01-21
83,34570,5,Bike,2025-05-28 23:00:00,2025-05-29 01:20:03.617081,2025-05-29 01:17:06.529486,32.62,-3.0,2025-05-28
84,96373,1,Bike,2025-05-08 07:00:00,2025-05-08 09:04:14.063271,2025-05-08 08:58:16.234522,26.73,-6.0,2025-05-08
85,21437,15,Truck,2025-05-15 02:00:00,2025-05-15 04:20:14.749295,2025-05-15 04:42:24.787946,30.49,22.2,2025-05-15
86,48104,5,Truck,2025-05-25 00:00:00,2025-05-25 03:16:54.059108,2025-05-25 03:37:23.250351,40.1,20.5,2025-05-25
87,73370,13,3PL Partner,2025-06-25 11:00:00,2025-06-25 13:53:16.172633,2025-06-25 14:04:24.736259,33.04,11.1,2025-06-25
88,14551,8,Van,2025-04-25 21:00:00,2025-04-25 21:38:10.880429,2025-04-25 22:06:39.914988,10.39,28.5,2025-04-25
89,78359,8,Bike,2025-04-29 21:00:00,2025-04-29 22:28:35.488795,2025-04-29 22:18:35.488795,19.32,-10.0,2025-04-29
90,64880,5,Bike,2025-06-07 05:00:00,2025-06-07 09:09:08.604118,2025-06-07 09:07:51.330548,45.48,-1.3,2025-06-07
91,22916,9,Bike,2025-04-19 18:00:00,2025-04-19 20:50:59.831804,2025-04-19 20:40:59.831804,38.96,-10.0,2025-04-19
92,90703,1,Bike,2025-01-08 01:00:00,2025-01-08 02:50:08.787077,2025-01-08 03:45:16.313795,28.72,55.1,2025-01-08
93,51445,4,Truck,2025-01-21 00:00:00,2025-01-21 01:10:50.571633,2025-01-21 01:35:06.435417,14.27,24.3,2025-01-21
94,57636,3,Van,2025-01-28 14:00:00,2025-01-28 15:30:16.229402,2025-01-28 15:38:41.355022,16.5,8.4,2025-01-28
95,83927,2,Van,2025-03-02 15:00:00,2025-03-02 16:58:26.154854,2025-03-02 17:24:08.143549,37.13,25.7,2025-03-02
96,88194,8,3PL Partner,2025-05-27 03:00:00,2025-05-27 06:48:26.420514,2025-05-27 07:20:45.951311,42.86,32.3,2025-05-27
97,39685,9,Truck,2025-02-04 16:00:00,2025-02-04 19:07:03.371738,2025-02-04 19:39:10.129768,34.23,32.1,2025-02-04
98,61134,2,Bike,2025-01-17 11:00:00,2025-01-17 13:59:08.535052,2025-01-17 14:27:34.579234,40.86,28.4,2025-01-17
99,98916,14,Van,2025-06-07 13:00:00,2025-06-07 16:50:51.226243,2025-06-07 16:55:36.177855,38.8,4.7,2025-06-07
100,77847,14,Van,2025-04-27 05:00:00,2025-04-27 05:49:14.219118,2025-04-27 05:49:12.580615,9.19,-0.0,2025-04-27
101,49993,4,Truck,2025-04-09 08:00:00,2025-04-09 09:58:55.237306,2025-04-09 09:49:40.610290,22.35,-9.2,2025-04-09
102,54333,6,3PL Partner,2025-02-06 23:00:00,2025-02-06 23:48:59.480026,2025-02-07 00:09:02.416746,9.34,20.0,2025-02-06
103,68865,11,3PL Partner,2025-04-03 16:00:00,2025-04-03 16:45:52.755618,2025-04-03 16:52:42.032736,13.29,6.8,2025-04-03
104,89096,3,Bike,2025-02-15 20:00:00,2025-02-15 22:39:40.097812,2025-02-15 22:41:17.932575,43.72,1.6,2025-02-15
105,59756,8,3PL Partner,2025-04-05 02:00:00,2025-04-05 03:48:28.587684,2025-04-05 03:49:03.794050,24.7,0.6,2025-04-05
106,71192,3,Van,2025-04-26 20:00:00,2025-04-26 21:45:01.686103,2025-04-26 22:24:01.917260,27.7,39.0,2025-04-26
107,70686,14,3PL Partner,2025-06-09 22:00:00,2025-06-09 22:44:51.467267,2025-06-09 23:13:54.683762,10.57,29.1,2025-06-09
108,58733,13,Bike,2025-06-10 02:00:00,2025-06-10 03:36:14.976562,2025-06-10 04:22:51.449189,16.99,46.6,2025-06-10
109,35993,13,Van,2025-05-08 17:00:00,2025-05-08 18:11:25.940233,2025-05-08 18:32:00.759793,13.05,20.6,2025-05-08
110,40492,2,3PL Partner,2025-01-25 09:00:00,2025-01-25 09:58:10.646390,2025-01-25 10:09:18.991718,11.9,11.1,2025-01-25
111,30981,13,3PL Partner,2025-02-23 02:00:00,2025-02-23 05:01:50.848123,2025-02-23 05:11:20.365182,32.62,9.5,2025-02-23
112,34143,19,Truck,2025-04-14 13:00:00,2025-04-14 14:16:41.198858,2025-04-14 14:06:41.198858,14.33,-10.0,2025-04-14
113,87603,6,Bike,2025-01-24 17:00:00,2025-01-24 19:18:37.569413,2025-01-24 19:08:37.569413,32.34,-10.0,2025-01-24
114,99452,16,3PL Partner,2025-02-01 14:00:00,2025-02-01 14:17:18.978847,2025-02-01 14:37:27.788073,4.81,20.1,2025-02-01
115,70277,2,Truck,2025-03-27 22:00:00,2025-03-27 22:39:59.903805,2025-03-27 22:31:18.289352,8.81,-8.7,2025-03-27
116,59990,8,Van,2025-05-07 09:00:00,2025-05-07 10:19:03.425565,2025-05-07 10:33:17.174870,15.18,14.2,2025-05-07
117,72888,17,Truck,2025-05-10 16:00:00,2025-05-10 18:12:06.860529,2025-05-10 18:44:25.420549,30.66,32.3,2025-05-10
118,79351,2,Truck,2025-04-14 00:00:00,2025-04-14 02:52:12.766360,2025-04-14 02:48:54.221640,34.44,-3.3,2025-04-14
119,59999,10,3PL Partner,2025-05-17 10:00:00,2025-05-17 11:16:19.841908,2025-05-17 12:06:32.419870,23.25,50.2,2025-05-17
120,80309,16,3PL Partner,2025-06-25 06:00:00,2025-06-25 08:02:41.955309,2025-06-25 07:52:53.121164,23.4,-9.8,2025-06-25
121,22446,6,3PL Partner,2025-06-19 22:00:00,2025-06-20 01:19:59.848019,2025-06-20 01:49:48.081727,36.78,29.8,2025-06-19
122,40733,2,Truck,2025-01-26 02:00:00,2025-01-26 02:14:07.776519,2025-01-26 02:32:37.483936,2.76,18.5,2025-01-26
123,86000,2,Van,2025-02-19 23:00:00,2025-02-20 00:48:25.775724,2025-02-20 01:22:18.690024,18.37,33.9,2025-02-19
124,58632,13,Bike,2025-01-13 06:00:00,2025-01-13 09:46:18.653659,2025-01-13 09:36:18.653659,41.3,-10.0,2025-01-13
125,31576,15,Truck,2025-02-26 03:00:00,2025-02-26 05:56:43.687520,2025-02-26 06:52:52.112620,30.95,56.1,2025-02-26
126,13320,2,3PL Partner,2025-06-22 19:00:00,2025-06-22 20:45:29.820334,2025-06-22 20:51:55.290233,18.19,6.4,2025-06-22
127,20750,7,Bike,2025-03-06 07:00:00,2025-03-06 11:05:41.753178,2025-03-06 11:29:13.730705,45.47,23.5,2025-03-06
128,63463,3,Van,2025-05-24 13:00:00,2025-05-24 16:16:19.181724,2025-05-24 16:55:12.566711,39.09,38.9,2025-05-24
129,36572,8,Bike,2025-04-25 22:00:00,2025-04-25 22:44:23.843451,2025-04-25 22:42:18.248970,14.71,-2.1,2025-04-25
130,27948,14,3PL Partner,2025-05-23 01:00:00,2025-05-23 03:25:00.121744,2025-05-23 03:51:30.993380,32.97,26.5,2025-05-23
131,48826,7,Truck,2025-03-07 22:00:00,2025-03-08 00:24:12.840589,2025-03-08 00:18:47.077015,30.6,-5.4,2025-03-07
132,99051,7,Truck,2025-03-27 18:00:00,2025-03-27 19:23:09.563535,2025-03-27 20:01:05.917432,21.26,37.9,2025-03-27
133,37867,1,3PL Partner,2025-06-02 21:00:00,2025-06-02 22:17:33.568441,2025-06-02 22:12:21.351564,19.61,-5.2,2025-06-02
134,70231,17,Truck,2025-02-27 21:00:00,2025-02-27 22:48:47.449460,2025-02-27 22:59:33.657839,18.49,10.8,2025-02-27
135,76262,9,3PL Partner,2025-02-18 19:00:00,2025-02-18 21:59:28.045712,2025-02-18 22:15:35.390553,31.62,16.1,2025-02-18
136,82233,13,Truck,2025-06-19 05:00:00,2025-06-19 07:08:54.046679,2025-06-19 07:34:35.206403,23.24,25.7,2025-06-19
137,54678,19,Truck,2025-01-15 21:00:00,2025-01-15 23:56:51.589073,2025-01-16 00:46:13.760643,41.93,49.4,2025-01-15
138,22963,19,Truck,2025-04-11 00:00:00,2025-04-11 01:43:49.549218,2025-04-11 01:44:47.186430,34.14,1.0,2025-04-11
139,74360,17,Van,2025-01-08 20:00:00,2025-01-08 20:17:21.560091,2025-01-08 20:50:08.041820,5.36,32.8,2025-01-08
140,59434,10,Van,2025-03-01 11:00:00,2025-03-01 13:08:50.218947,2025-03-01 13:58:14.529085,32.73,49.4,2025-03-01
141,76617,10,3PL Partner,2025-04-18 04:00:00,2025-04-18 04:45:45.262440,2025-04-18 04:59:04.142473,15.02,13.3,2025-04-18
142,30269,4,Van,2025-04-13 03:00:00,2025-04-13 04:32:55.908922,2025-04-13 04:31:55.749622,30.45,-1.0,2025-04-13
143,86312,8,3PL Partner,2025-01-06 12:00:00,2025-01-06 15:19:12.589613,2025-01-06 15:09:12.589613,34.65,-10.0,2025-01-06
144,89732,20,Bike,2025-04-26 14:00:00,2025-04-26 15:06:56.918487,2025-04-26 15:54:36.849408,13.08,47.7,2025-04-26
145,91494,20,Bike,2025-04-09 22:00:00,2025-04-09 23:33:58.012065,2025-04-09 23:39:04.678869,23.93,5.1,2025-04-09
146,98905,18,Van,2025-06-17 19:00:00,2025-06-17 19:37:50.280510,2025-06-17 19:27:50.280510,11.14,-10.0,2025-06-17
147,87225,14,Bike,2025-05-24 12:00:00,2025-05-24 12:20:27.762452,2025-05-24 12:10:27.762452,4.51,-10.0,2025-05-24
148,92867,18,Bike,2025-04-24 09:00:00,2025-04-24 10:00:49.443057,2025-04-24 09:50:49.443057,20.17,-10.0,2025-04-24
149,47528,14,Truck,2025-06-07 18:00:00,2025-06-07 19:52:56.381412,2025-06-07 20:21:20.027764,19.42,28.4,2025-06-07
150,88972,20,Truck,2025-05-25 23:00:00,2025-05-26 02:31:18.089581,2025-05-26 03:02:27.531814,49.78,31.2,2025-05-25
151,75602,15,3PL Partner,2025-03-04 18:00:00,2025-03-04 19:38:32.923342,2025-03-04 20:01:35.469588,23.42,23.0,2025-03-04
152,43332,4,Bike,2025-04-02 22:00:00,2025-04-02 23:15:08.361361,2025-04-02 23:27:47.166754,18.01,12.6,2025-04-02
153,88929,13,3PL Partner,2025-03-31 04:00:00,2025-03-31 05:35:47.964914,2025-03-31 05:25:47.964914,29.86,-10.0,2025-03-31
154,79206,8,3PL Partner,2025-04-27 22:00:00,2025-04-27 22:30:46.307715,2025-04-27 22:26:10.378580,6.26,-4.6,2025-04-27
155,12251,18,Bike,2025-05-07 08:00:00,2025-05-07 12:10:23.047842,2025-05-07 12:00:23.047842,48.16,-10.0,2025-05-07
156,55717,12,Van,2025-05-20 20:00:00,2025-05-20 22:43:18.720916,2025-05-20 23:04:46.106123,32.48,21.5,2025-05-20
157,37027,14,Bike,2025-05-09 00:00:00,2025-05-09 02:10:34.483971,2025-05-09 02:00:34.483971,38.23,-10.0,2025-05-09
158,96551,2,Truck,2025-02-03 21:00:00,2025-02-03 21:48:13.902540,2025-02-03 21:43:56.807207,10.18,-4.3,2025-02-03
159,19583,18,Bike,2025-02-17 07:00:00,2025-02-17 08:41:57.675757,2025-02-17 08:48:17.491065,21.65,6.3,2025-02-17
160,60387,2,Van,2025-04-27 00:00:00,2025-04-27 02:04:56.127495,2025-04-27 01:54:56.127495,22.29,-10.0,2025-04-27
161,33104,11,3PL Partner,2025-01-16 06:00:00,2025-01-16 08:51:28.854568,2025-01-16 09:02:24.980285,41.45,10.9,2025-01-16
162,22224,9,3PL Partner,2025-03-10 21:00:00,2025-03-10 21:08:28.389148,2025-03-10 21:16:19.805691,2.06,7.9,2025-03-10
163,70624,12,Truck,2025-04-03 22:00:00,2025-04-03 23:19:49.821807,2025-04-03 23:53:30.872782,16.44,33.7,2025-04-03
164,66058,17,Truck,2025-03-17 15:00:00,2025-03-17 19:00:32.903857,2025-03-17 18:54:09.065203,49.1,-6.4,2025-03-17
165,39299,15,Truck,2025-06-28 04:00:00,2025-06-28 05:49:17.448967,2025-06-28 05:39:17.448967,24.79,-10.0,2025-06-28
166,88572,17,3PL Partner,2025-03-27 13:00:00,2025-03-27 14:28:08.851614,2025-03-27 14:30:39.980034,20.36,2.5,2025-03-27
167,95469,18,Truck,2025-03-10 14:00:00,2025-03-10 14:34:44.817979,2025-03-10 14:24:44.817979,7.75,-10.0,2025-03-10
168,87928,6,Bike,2025-04-04 13:00:00,2025-04-04 17:32:13.989614,2025-04-04 17:43:00.975124,48.76,10.8,2025-04-04
169,83474,17,3PL Partner,2025-05-24 15:00:00,2025-05-24 15:12:58.842455,2025-05-24 15:02:58.842455,2.96,-10.0,2025-05-24
170,14141,18,Van,2025-03-26 06:00:00,2025-03-26 09:37:34.261071,2025-03-26 09:35:27.846587,37.38,-2.1,2025-03-26
171,33350,8,3PL Partner,2025-04-10 00:00:00,2025-04-10 02:55:29.082627,2025-04-10 02:46:55.036623,38.89,-8.6,2025-04-10
172,85082,9,Bike,2025-04-11 22:00:00,2025-04-11 23:20:05.157906,2025-04-11 23:41:26.466399,13.7,21.4,2025-04-11
173,80871,6,Bike,2025-01-10 21:00:00,2025-01-11 00:08:14.395793,2025-01-11 00:02:01.718141,34.23,-6.2,2025-01-10
174,15077,5,Truck,2025-03-10 03:00:00,2025-03-10 03:26:24.382022,2025-03-10 03:16:24.382022,6.46,-10.0,2025-03-10
175,56015,12,3PL Partner,2025-02-03 19:00:00,2025-02-03 20:20:09.850492,2025-02-03 20:26:07.666376,14.34,6.0,2025-02-03
176,81147,11,3PL Partner,2025-05-18 18:00:00,2025-05-18 20:12:36.348816,2025-05-18 20:29:00.212184,39.82,16.4,2025-05-18
177,69180,1,3PL Partner,2025-04-06 00:00:00,2025-04-06 04:11:14.830171,2025-04-06 04:15:49.383939,43.5,4.6,2025-04-06
178,50857,11,Van,2025-03-10 12:00:00,2025-03-10 14:32:45.468001,2025-03-10 14:30:31.880666,31.21,-2.2,2025-03-10
179,69840,19,Truck,2025-01-04 15:00:00,2025-01-04 16:23:16.846380,2025-01-04 16:19:50.971859,26.33,-3.4,2025-01-04
180,69902,9,Bike,2025-01-24 15:00:00,2025-01-24 15:47:35.065569,2025-01-24 15:59:50.603208,9.65,12.3,2025-01-24
181,15577,2,Bike,2025-01-02 16:00:00,2025-01-02 16:29:47.211470,2025-01-02 16:21:59.872971,5.03,-7.8,2025-01-02
182,30002,12,Truck,2025-05-08 19:00:00,2025-05-08 19:24:32.567342,2025-05-08 19:27:58.387776,7.65,3.4,2025-05-08
183,60711,4,Bike,2025-06-01 11:00:00,2025-06-01 12:00:13.664921,2025-06-01 12:25:14.200806,12.91,25.0,2025-06-01
184,49451,4,Bike,2025-06-27 02:00:00,2025-06-27 03:36:28.813206,2025-06-27 03:26:28.813206,18.4,-10.0,2025-06-27
185,59103,18,Truck,2025-05-04 00:00:00,2025-05-04 01:50:09.359639,2025-05-04 01:59:16.959215,20.28,9.1,2025-05-04
186,38647,15,Bike,2025-06-10 18:00:00,2025-06-10 19:18:59.460820,2025-06-10 19:08:59.460820,18.62,-10.0,2025-06-10
187,44831,19,3PL Partner,2025-06-20 04:00:00,2025-06-20 04:48:40.631415,2025-06-20 05:03:14.147019,13.47,14.6,2025-06-20
188,76830,13,Van,2025-01-12 02:00:00,2025-01-12 03:22:45.736849,2025-01-12 03:13:11.165796,26.47,-9.6,2025-01-12
189,90632,19,Truck,2025-03-06 00:00:00,2025-03-06 03:17:12.894508,2025-03-06 03:47:36.404684,41.61,30.4,2025-03-06
190,46833,17,Van,2025-06-17 09:00:00,2025-06-17 10:07:14.208920,2025-06-17 09:57:14.208920,15.43,-10.0,2025-06-17
191,34398,6,Bike,2025-02-12 11:00:00,2025-02-12 15:36:08.661064,2025-02-12 15:54:59.155908,47.23,18.8,2025-02-12
192,71554,16,Bike,2025-01-29 12:00:00,2025-01-29 14:19:44.748659,2025-01-29 14:54:10.105953,43.92,34.4,2025-01-29
